site_id,year,month,biomass_kg
a-p-48,2014,6,NA
a-p-48,2014,7,NA
a-p-48,2014,8,NA
a-p-48,2014,9,NA
a-p-48,2014,10,0
a-p-48,2014,11,0
a-p-48,2014,12,0
a-p-49,2004,1,NA
a-p-49,2004,2,NA
a-p-49,2004,3,NA
a-p-49,2004,4,NA
a-p-49,2004,5,NA
a-p-49,2004,6,NA
a-p-49,2004,7,NA
a-p-49,2004,8,NA
a-p-49,2004,9,NA
a-p-49,2004,10,NA
a-p-49,2004,11,NA
a-p-49,2004,12,NA
a-p-49,2005,1,NA
a-p-49,2005,2,NA
a-p-49,2005,3,NA
a-p-49,2005,4,NA
a-p-49,2005,5,NA
a-p-49,2005,6,NA
a-p-49,2005,7,NA
a-p-49,2005,8,NA
a-p-49,2005,9,NA
a-p-49,2005,10,NA
a-p-49,2005,11,NA
a-p-49,2005,12,NA
a-p-49,2006,1,NA
a-p-49,2006,2,NA
a-p-49,2006,3,NA
a-p-49,2006,4,NA
a-p-49,2006,5,NA
a-p-49,2006,6,NA
a-p-49,2006,7,NA
a-p-49,2006,8,NA
a-p-49,2006,9,NA
a-p-49,2006,10,NA
a-p-49,2006,11,NA
a-p-49,2006,12,NA
a-p-49,2007,1,NA
a-p-49,2007,2,NA
a-p-49,2007,3,NA
a-p-49,2007,4,NA
a-p-49,2007,5,NA
a-p-49,2007,6,NA
a-p-49,2007,7,NA
a-p-49,2007,8,NA
a-p-49,2007,9,NA
a-p-49,2007,10,NA
a-p-49,2007,11,NA
a-p-49,2007,12,NA
a-p-49,2008,1,NA
a-p-49,2008,2,NA
a-p-49,2008,3,NA
a-p-49,2008,4,NA
a-p-49,2008,5,NA
a-p-49,2008,6,NA
a-p-49,2008,7,NA
a-p-49,2008,8,NA
a-p-49,2008,9,NA
a-p-49,2008,10,NA
a-p-49,2008,11,NA
a-p-49,2008,12,NA
a-p-49,2009,1,NA
a-p-49,2009,2,NA
a-p-49,2009,3,NA
a-p-49,2009,4,NA
a-p-49,2009,5,NA
a-p-49,2009,6,NA
a-p-49,2009,7,NA
a-p-49,2009,8,NA
a-p-49,2009,9,NA
a-p-49,2009,10,NA
a-p-49,2009,11,NA
a-p-49,2009,12,NA
a-p-49,2010,1,NA
a-p-49,2010,2,NA
a-p-49,2010,3,NA
a-p-49,2010,4,NA
a-p-49,2010,5,NA
a-p-49,2010,6,NA
a-p-49,2010,7,NA
a-p-49,2010,8,NA
a-p-49,2010,9,NA
a-p-49,2010,10,NA
a-p-49,2010,11,NA
a-p-49,2010,12,NA
a-p-49,2011,1,NA
a-p-49,2011,2,NA
a-p-49,2011,3,NA
a-p-49,2011,4,NA
a-p-49,2011,5,NA
a-p-49,2011,6,NA
a-p-49,2011,7,NA
a-p-49,2011,8,NA
a-p-49,2011,9,NA
a-p-49,2011,10,NA
a-p-49,2011,11,NA
a-p-49,2011,12,NA
a-p-49,2012,1,NA
a-p-49,2012,2,NA
a-p-49,2012,3,NA
a-p-49,2012,4,NA
a-p-49,2012,5,NA
a-p-49,2012,6,NA
a-p-49,2012,7,NA
a-p-49,2012,8,NA
a-p-49,2012,9,NA
a-p-49,2012,10,NA
